pps_mean,pps,pps_var,bps,cpu_idle,rssi_mean,rssi_var,label
0.013395,184,0.000128,48448,50.67,-75.5,220.03,1
0.010179,141,0.000197,35299,30.1,-77.4,158.06,1
0.012526,98,0.000104,22273,25.28,-73.9,271.63,1
0.009013,159,0.000091,72948,30.03,-77.6,265.34,1
0.007461,195,0.000054,54525,30.5,-75.2,190.45,1
0.010475,136,0.00013,34537,29.58,-72.2,180.42,1
0.008702,141,0.000078,32689,25.78,-73.5,180.99,1
0.007735,185,0.00007,40253,30.12,-76.1,197.89,1
0.011518,143,0.000093,34706,34.13,-77.4,196.54,1
0.011565,124,0.000182,29522,29.64,-76.6,210.42,1
0.00866,141,0.000076,35652,25.58,-73.7,188.98,1
0.012837,128,0.000119,28200,33.92,-77.9,192.36,1
0.012516,98,0.000103,24870,25.37,-76.7,178.96,1
0.01393,104,0.000177,23817,29.7,-74.1,255.9,1
0.010798,170,0.000107,42327,38.07,-70.9,272.02,1
0.014271,87,0.000135,23104,25.36,-72.7,209.64,1
0.01483,83,0.000109,20591,25.24,-71.4,254.75,1
0.015537,93,0.000134,23803,29.55,-73.3,245.53,1
0.017079,84,0.000238,18732,29.41,-76.1,208.19,1
0.015588,92,0.000134,22072,29.35,-72.4,205.17,1
0.016981,85,0.000164,21892,29.42,-71,250.16,1
0.016432,100,0.000138,26395,33.64,-75.6,225.43,1
0.016916,73,0.00027,15808,25.2,-72.5,265.1,1
0.013213,124,0.000126,28730,33.65,-73.8,272.62,1
0.010653,135,0.000132,34267,29.88,-73.2,214.99,1
0.011812,122,0.000113,29148,29.58,-73.9,211.61,1
0.013842,104,0.000115,24973,29.6,-73.8,256.69,1
0.011837,156,0.000153,36783,38.39,-76.2,202.12,1
0.0109,150,0.000114,40100,33.87,-75.9,182.97,1
0.014048,117,0.000149,27653,33.69,-72.6,306.62,1
0.017176,72,0.000315,19130,25.14,-73.7,214.11,1
0.012958,95,0.000106,22933,25.26,-74.9,261.31,1
0.011473,143,0.00011,33360,34.04,-77.9,194.89,1
0.008492,145,0.000082,33143,25.87,-75.7,221.29,1
0.011902,121,0.000103,27505,29.85,-78,209.44,1
0.009884,207,0.000141,53496,42.75,-77.6,170.91,1
0.009027,136,0.000081,31131,25.63,-75.1,264.56,1
0.01046,137,0.000119,32237,29.63,-75.9,242.09,1
0.009356,155,0.000109,40009,30.17,-75.5,175.38,1
0.008765,140,0.000091,33697,25.54,-76.6,169.65,1
0.006553,187,0.000067,43142,26.08,-76.9,199.43,1
0.014858,83,0.000157,18439,25.18,-72.1,278.53,1
0.015718,92,0.000117,23495,29.53,-74,246.29,1
0.012249,102,0.000235,26956,25.68,-75.4,228.15,1
0.013883,102,0.000218,22870,29.07,-74.7,265.79,1
0.010319,159,0.000109,40457,34.08,-74.8,176.33,1
0.011622,106,0.000148,26576,25.35,-74.7,243.06,1
0.009004,182,0.000094,45594,34.32,-74.2,235.54,1
0.007103,172,0.000079,42738,25.9,-76.7,194.7,1
0.011879,138,0.000102,34128,33.93,-77.5,255.6,1
0.008896,184,0.000089,44027,34.26,-78.4,216.49,1
0.01139,109,0.000255,25152,25.66,-76.9,245.69,1
0.01531,120,0.000205,28767,37.73,-74.4,243.44,1
0.007576,189,0.000085,42341,30.16,-76.1,202.86,1
0.016331,76,0.000208,16877,25.27,-71.9,281.53,1
0.012307,100,0.000219,20815,25.39,-68.7,379.48,1
0.012934,111,0.00015,26324,29.58,-75.6,178.62,1
0.016671,112,0.000189,25823,38.87,-76.5,154.66,1
0.017813,81,0.000232,19216,29.9,-74.5,156.37,1
0.016087,77,0.000345,17137,25.84,-73.7,223.1,1
0.011845,138,0.000167,31826,33.94,-70.7,239.45,1
0.013259,93,0.000158,21172,25.16,-71.3,325.13,1
0.015153,82,0.000212,18359,25.64,-72.9,281.09,1
0.014161,87,0.000147,22181,25.31,-74.4,210.02,1
0.014809,125,0.000169,27846,39.26,-73.9,298.88,1
0.008489,168,0.000116,39395,30.36,-72.6,197.93,1
0.008676,141,0.000079,29696,25.89,-79.3,189.9,1
0.009655,148,0.000132,36253,29.88,-75,146,1
0.01193,123,0.000134,30437,30.53,-77.1,165.06,1
0.01148,122,0.000169,26088,29.22,-75.1,166.43,1
0.012071,136,0.000138,33101,34.07,-73.1,162.55,1
0.010934,169,0.000119,38007,38.32,-74.8,263.92,1
0.008828,186,0.000079,37869,34.63,-72.6,231.49,1
0.000692,3108,0.000004,290385,45.71,-61.9,26.54,1
0.000634,10115,0.000004,936651,134.5,-63,31.09,1
0.00029,43634,0.000001,3945784,143.29,-62.2,18.19,1
0.000293,17158,0.000001,1577210,64.77,-61.1,21.1,1
0.000307,28526,0.000001,2627740,119.06,-63.1,12.01,1
0.000445,11298,0.000002,1042770,83.61,-62.3,40.35,1
0.000328,24861,0.000001,2255821,88.73,-63.2,30.78,1
0.000349,24588,0.000001,2340771,102.77,-61.5,46.81,1
0.000291,25016,0.000001,2253901,76.15,-62.7,24.04,1
0.000294,30413,0.000001,2781547,96.19,-62.6,30.14,1
0.000353,26794,0.000001,2438846,101.15,-63.3,43.31,1
0.000251,20080,0.000001,1792540,57.19,-64.2,13.25,1
0.000229,22164,0.000001,1962992,65.38,-64.2,5.82,1
0.000231,21724,0.000001,1925209,62.46,-63.4,7.2,1
0.00025,20106,0.000001,1775301,54.74,-62.4,24.37,1
0.000255,19686,0.000001,1754398,58.96,-64,20.87,1
0.000215,23397,0.000001,2078715,57.65,-64,15.32,1
0.000197,25478,0,2251168,54.69,-63.4,4.67,1
0.00023,21826,0.000001,1943798,60.23,-63.8,4.41,1
0.000255,19779,0.000001,1785450,60.35,-63,8.12,1
0.000236,37263,0.000001,3362684,109.3,-63.4,5.1,1
0.000236,21400,0.000001,1920294,62.54,-63.2,5.65,1
0.000231,52198,0.000001,4634479,144.48,-64.6,8.09,1
0.00026,46366,0.000001,4130263,157,-64.9,10.79,1
0.000319,37758,0.000001,3401974,192.11,-66.4,15.01,1
0.000326,21866,0.000001,1991690,129.43,-65.3,7.65,1
0.000312,21553,0.000001,1966043,109.51,-65,7.19,1
0.000335,20146,0.000002,1858233,111.92,-66.6,12.5,1
0.000292,19374,0.000001,1735673,89.41,-65.5,6.38,1
0.000224,33894,0.000001,3004228,90.61,-64.8,5.38,1
0.000206,24318,0,2147201,54.71,-64.6,3.1,1
0.000213,23522,0.000001,2074553,58.16,-63.9,4.15,1
0.000199,25295,0.000001,2230059,54.51,-63.9,2.81,1
0.00024,21208,0.000001,1882600,58.94,-63.2,12.79,1
0.00024,20997,0.000001,1855142,54.02,-63.5,12.07,1
0.000412,13612,0.000001,1308685,64.63,-60.5,22.76,1
0.001393,900,0.000036,106818,25.27,-61.5,28.92,1
0.012005,120,0.000149,25901,29.64,-70.4,203.83,1
0.002607,400,0.000006,50982,25.94,-65.4,73.39,1
0.002572,509,0.000007,76019,32.55,-66.9,72.17,1
0.003197,341,0.000009,42611,26.88,-64.8,66.78,1
0.003659,314,0.000026,43438,26.84,-65.2,99.07,1
0.002976,369,0.000009,47221,27.28,-64.6,78.98,1
0.002877,809,0.000007,103598,57.03,-64.4,61.48,1
0.002927,355,0.000009,45272,24.9,-65.1,76.61,1
0.002658,544,0.000006,63213,35.73,-63.9,54.9,1
0.003338,327,0.000013,38368,26.64,-65.4,56.68,1
0.003144,937,0.00001,116181,71.72,-64.5,51.25,1
0.00373,272,0.000014,33553,24.39,-63.5,37.41,1
0.004269,310,0.000034,44090,30.98,-65.9,89.52,1
0.004739,288,0.000061,39182,31.13,-66.5,129.33,1
0.012253,100,0.000239,17025,25.21,-73.7,229.43,1
0.010062,163,0.000174,36841,34.5,-72.7,159.02,1
0.017691,70,0.000508,13639,25.34,-69.6,153.1,1
0.016148,76,0.000429,13856,25.2,-68.3,255.86,1
0.01741,83,0.000379,15103,29.48,-71.1,220.37,1
0.002879,357,0.000008,45492,25.06,-65.2,83.26,1
0.002938,372,0.000008,48237,26.88,-66.2,81.83,1
0.003209,611,0.000009,71349,46.61,-62.3,59.49,1
0.002899,403,0.00001,46833,27.99,-62.9,93.1,1
0.004959,261,0.00006,34921,29.42,-65.8,90.74,1
0.013171,94,0.000301,17228,25.42,-73.4,209.87,1
0.009992,123,0.000166,24149,25.49,-74,211.85,1
0.010937,117,0.000163,23199,26.71,-76.9,204.65,1
0.01095,108,0.000157,21974,24.38,-75.7,218.12,1
0.008036,184,0.000131,28614,32.09,-68.4,147.31,1
0.004411,339,0.00005,48219,34.96,-67.7,130.78,1
0.002924,391,0.000011,47588,28.21,-64.4,80.01,1
0.003141,323,0.000011,40173,25.08,-65.1,64.88,1
0.002765,956,0.000008,122700,65.49,-64.7,81.36,1
0.016325,126,0.000266,30318,42.35,-78.9,197.58,1
0.011359,108,0.000111,21735,25.58,-77.4,198.47,1
0.005513,248,0.000045,42888,30.78,-74.1,202.78,1
